trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,16542297,Not PM,,,,,,,,,
1,16550599,Not PM,,,,,,,,,
1,16638967,Not PM,,,,,,,,,
1,16690191,Not PM,,,,,,,,,
1,16707369,Not PM,,,,,,,,,
1,16707471,Animal PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,16711551,Not PM,,,,,,,,,
1,16732323,Not PM,,,,,,,,,
1,16734250,Not PM,,,,,,,,,
1,16736850,Not PM,,,,,,,,,
1,16831894,Not PM,,,,,,,,,
1,16855986,Not PM,,,,,,,,,
1,16938516,Not PM,,,,,,,,,
1,16940799,Not PM,,,,,,,,,
1,16951210,Not PM,,,,,,,,,
1,16953912,Not PM,,,,,,,,,
1,16960043,Not PM,,,,,,,,,
1,17000700,Not PM,,,,,,,,,
1,17213023,Not PM,,,,,,,,,
1,17214366,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,17252983,Not PM,,,,,,,,,
1,17263615,Not PM,,,,,,,,,
1,17277528,Not PM,,,,,,,,,
1,17353645,Not PM,,,,,,,,,
1,17354236,Not PM,,,,,,,,,
1,17372913,Not PM,,,,,,,,,
1,17375713,Not PM,,,,,,,,,
1,17387533,Not PM,,,,,,,,,
1,17439032,Not PM,,,,,,,,,
1,17468515,Not PM,,,,,,,,,
1,17638873,Not PM,,,,,,,,,
1,17651641,Not PM,,,,,,,,,
1,17664862,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,17867902,Not PM,,,,,,,,,
1,17895748,Not PM,,,,,,,,,
1,17895758,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,17909028,Not PM,,,,,,,,,
1,17929542,Not PM,,,,,,,,,
1,17966553,Not PM,,,,,,,,,
1,18006686,Not PM,,,,,,,,,
1,18046268,Not PM,,,,,,,,,
1,18058173,Not PM,,,,,,,,,
1,18090587,Not PM,,,,,,,,,
1,1812488,Not PM,,,,,,,,,
1,18214854,Not PM,,,,,,,,,
1,18413802,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,18417851,Not PM,,,,,,,,,
1,18484097,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,18497564,Not PM,,,,,,,,,
1,18517278,Not PM,,,,,,,,,
1,18551309,Not PM,,,,,,,,,
1,18611926,Not PM,,,,,,,,,
1,18628610,Not PM,,,,,,,,,
1,18632984,Not PM,,,,,,,,,
1,18678431,Not PM,,,,,,,,,
1,18720363,Not PM,,,,,,,,,
1,18790768,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,18820664,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,18836421,Not PM,,,,,,,,,
1,18842562,Not PM,,,,,,,,,
1,19011513,Not PM,,,,,,,,,
1,19080374,Not PM,,,,,,,,,
1,19190116,Not PM,,,,,,,,,
1,19194281,Not PM,,,,,,,,,
1,19227206,Not PM,,,,,,,,,
1,19241318,Not PM,,,,,,,,,
1,19347879,Not PM,,,,,,,,,
1,19368956,Not PM,,,,,,,,,
1,19390952,Not PM,,,,,,,,,
1,19426702,Not PM,,,,,,,,,
1,19449367,Not PM,,,,,,,,,
1,19515501,Not PM,,,,,,,,,
1,19574885,Not PM,,,,,,,,,
1,19626636,Not PM,,,,,,,,,
1,19664496,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,19688222,Not PM,,,,,,,,,
1,19734852,Not PM,,,,,,,,,
1,19734855,Not PM,,,,,,,,,
1,19734858,Not PM,,,,,,,,,
1,19737942,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,19757668,Not PM,,,,,,,,,
1,19816710,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,19820690,Not PM,,,,,,,,,
1,19839146,Not PM,,,,,,,,,
1,19946100,Not PM,,,,,,,,,
1,19996204,Not PM,,,,,,,,,
1,20010088,Not PM,,,,,,,,,
1,20022639,Not PM,,,,,,,,,
1,20183915,Not PM,,,,,,,,,
1,20197395,Not PM,,,,,,,,,
1,2039300,Not PM,,,,,,,,,
1,20393933,Not PM,,,,,,,,,
1,20415190,Not PM,,,,,,,,,
1,20436789,Not PM,,,,,,,,,
1,20473880,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,20483708,Not PM,,,,,,,,,
1,2048492,Not PM,,,,,,,,,
1,20497911,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,20508829,Not PM,,,,,,,,,
1,20522586,Not PM,,,,,,,,,
1,20541291,Not PM,,,,,,,,,
1,20588177,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,20591887,Not PM,,,,,,,,,
1,20601955,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,20697254,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,20732964,Not PM,,,,,,,,,
1,20736297,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,20814134,Not PM,,,,,,,,,
1,20842456,Not PM,,,,,,,,,
1,21038090,Not PM,,,,,,,,,
1,21084242,Not PM,,,,,,,,,
1,21139825,Not PM,,,,,,,,,
1,21197426,Not PM,,,,,,,,,
1,21317707,Not PM,,,,,,,,,
1,21325289,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,21338289,Not PM,,,,,,,,,
1,21358383,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,21394894,Not PM,,,,,,,,,
1,21426400,Not PM,,,,,,,,,
1,21451212,Not PM,,,,,,,,,
1,21465089,Not PM,,,,,,,,,
1,21473438,Not PM,,,,,,,,,
1,21487465,Not PM,,,,,,,,,
1,2150765,Not PM,,,,,,,,,
1,21523509,Not PM,,,,,,,,,
1,21540666,Not PM,,,,,,,,,
1,21552124,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,21552929,Not PM,,,,,,,,,
1,21593195,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,21776304,Not PM,,,,,,,,,
1,21790860,Not PM,,,,,,,,,
1,21793095,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,21801719,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,21910158,Not PM,,,,,,,,,
1,21930930,Not PM,,,,,,,,,
1,2203887,Not PM,,,,,,,,,
1,22173612,Not PM,,,,,,,,,
1,22237278,Not PM,,,,,,,,,
1,22299213,Not PM,,,,,,,,,
1,22301498,Not PM,,,,,,,,,
1,22302033,Animal PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,22307930,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,22374332,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,22375305,Not PM,,,,,,,,,
1,22413716,Not PM,,,,,,,,,
1,22472959,Not PM,,,,,,,,,
1,22587772,Not PM,,,,,,,,,
1,22593439,Not PM,,,,,,,,,
1,22666924,Not PM,,,,,,,,,
1,22678079,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,22690275,Not PM,,,,,,,,,
1,22699518,Not PM,,,,,,,,,
1,2275569,Not PM,,,,,,,,,
1,22843199,Not PM,,,,,,,,,
1,22895273,Not PM,,,,,,,,,
1,2291686,Not PM,,,,,,,,,
1,22995304,Not PM,,,,,,,,,
1,23020289,Not PM,,,,,,,,,
1,23098986,Not PM,,,,,,,,,
1,23109990,Not PM,,,,,,,,,
1,23174577,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,23230188,Not PM,,,,,,,,,
1,23245199,Not PM,,,,,,,,,
1,23253485,Not PM,,,,,,,,,
1,23268098,Not PM,,,,,,,,,
1,23308321,Not PM,,,,,,,,,
1,23317107,Not PM,,,,,,,,,
1,23374948,Not PM,,,,,,,,,
1,23393200,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,23529275,Not PM,,,,,,,,,
1,23553917,Not PM,,,,,,,,,
1,23567489,Not PM,,,,,,,,,
1,23569312,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,23661264,Not PM,,,,,,,,,
1,23673410,Not PM,,,,,,,,,
1,23738993,Not PM,,,,,,,,,
1,23742987,Not PM,,,,,,,,,
1,23774133,Not PM,,,,,,,,,
1,23826426,Not PM,,,,,,,,,
1,23848571,Not PM,,,,,,,,,
1,23852861,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,23910173,Not PM,,,,,,,,,
1,23926926,Not PM,,,,,,,,,
1,23971884,Not PM,,,,,,,,,
1,23984620,Not PM,,,,,,,,,
1,23999171,Not PM,,,,,,,,,
1,24007862,Not PM,,,,,,,,,
1,24065146,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,24168228,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,24182635,Not PM,,,,,,,,,
1,24213580,Not PM,,,,,,,,,
1,24227706,Not PM,,,,,,,,,
1,24348818,Not PM,,,,,,,,,
1,24397249,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,24406431,Human PM,More General,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,24457460,Not PM,,,,,,,,,
1,24487315,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,24487317,Not PM,,,,,,,,,
1,24487318,Not PM,,,,,,,,,
1,24496383,Animal PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,24533836,Not PM,,,,,,,,,
1,24558126,Not PM,,,,,,,,,
1,24595525,Not PM,,,,,,,,,
1,24659226,Not PM,,,,,,,,,
1,24751144,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,24788530,Not PM,,,,,,,,,
1,24789704,Not PM,,,,,,,,,
1,24795392,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,24803896,Not PM,,,,,,,,,
1,24834200,Not PM,,,,,,,,,
1,24844919,Not PM,,,,,,,,,
1,24889495,Not PM,,,,,,,,,
1,24965044,Not PM,,,,,,,,,
1,24994066,Not PM,,,,,,,,,
1,25028469,Animal PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25048043,Not PM,,,,,,,,,
1,25048044,Not PM,,,,,,,,,
1,25059573,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25060424,Not PM,,,,,,,,,
1,25120902,Not PM,,,,,,,,,
1,25121597,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25126005,Not PM,,,,,,,,,
1,25223380,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25301361,Animal PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25315840,Not PM,,,,,,,,,
1,25376660,Not PM,,,,,,,,,
1,25419906,Not PM,,,,,,,,,
1,25469348,Not PM,,,,,,,,,
1,25550570,Not PM,,,,,,,,,
1,25554985,Not PM,,,,,,,,,
1,25576094,Not PM,,,,,,,,,
1,25591040,Not PM,,,,,,,,,
1,25650275,Not PM,,,,,,,,,
1,25671937,Not PM,,,,,,,,,
1,25679065,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25680902,Not PM,,,,,,,,,
1,25690861,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25706170,Not PM,,,,,,,,,
1,25810375,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25822339,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25851712,Not PM,,,,,,,,,
1,25862836,Not PM,,,,,,,,,
1,25888633,Not PM,,,,,,,,,
1,25901099,Not PM,,,,,,,,,
1,25921155,Not PM,,,,,,,,,
1,25941111,Animal PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,25986682,Not PM,,,,,,,,,
1,25993159,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26037674,Not PM,,,,,,,,,
1,26066910,Not PM,,,,,,,,,
1,26084847,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26095567,Not PM,,,,,,,,,
1,26155914,Not PM,,,,,,,,,
1,26173427,Not PM,,,,,,,,,
1,26225840,Not PM,,,,,,,,,
1,26252913,Not PM,,,,,,,,,
1,26336885,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26337082,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26365123,Not PM,,,,,,,,,
1,2641156,Not PM,,,,,,,,,
1,26435331,Not PM,,,,,,,,,
1,26439576,Not PM,,,,,,,,,
1,26449745,Not PM,,,,,,,,,
1,26464734,Not PM,,,,,,,,,
1,26509911,Not PM,,,,,,,,,
1,26514741,Not PM,,,,,,,,,
1,26542423,Not PM,,,,,,,,,
1,26573603,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26642065,Human PM,More General,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,26643872,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26645460,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26645903,Not PM,,,,,,,,,
1,26805224,Not PM,,,,,,,,,
1,26843318,Not PM,,,,,,,,,
1,26873304,Not PM,,,,,,,,,
1,26918731,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26957881,Not PM,,,,,,,,,
1,26962163,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,26962165,Not PM,,,,,,,,,
1,26987706,Not PM,,,,,,,,,
1,26993784,Animal PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,27016421,Not PM,,,,,,,,,
1,27020493,Not PM,,,,,,,,,
1,27069133,Not PM,,,,,,,,,
1,27124835,Human PM,Exact,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,27186240,Not PM,,,,,,,,,
1,27209201,Not PM,,,,,,,,,
1,27272683,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,27402219,Not PM,,,,,,,,,
1,27409346,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,2744647,Not PM,,,,,,,,,
1,27492446,Not PM,,,,,,,,,
1,27591497,Not PM,,,,,,,,,
1,27594953,Not PM,,,,,,,,,
1,27597521,Not PM,,,,,,,,,
1,27615729,Not PM,,,,,,,,,
1,27730802,Not PM,,,,,,,,,
1,27778364,Not PM,,,,,,,,,
1,27815686,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,2814112,Not PM,,,,,,,,,
1,3176792,Not PM,,,,,,,,,
1,3329541,Not PM,,,,,,,,,
1,3341109,Not PM,,,,,,,,,
1,3396810,Not PM,,,,,,,,,
1,3806827,Not PM,,,,,,,,,
1,3827316,Not PM,,,,,,,,,
1,6244080,Not PM,,,,,,,,,
1,6309304,Not PM,,,,,,,,,
1,6499492,Not PM,,,,,,,,,
1,650725,Not PM,,,,,,,,,
1,6678723,Not PM,,,,,,,,,
1,6694954,Not PM,,,,,,,,,
1,678097,Not PM,,,,,,,,,
1,679163,Not PM,,,,,,,,,
1,6887379,Not PM,,,,,,,,,
1,689814,Not PM,,,,,,,,,
1,7244759,Not PM,,,,,,,,,
1,7640224,Not PM,,,,,,,,,
1,7664245,Not PM,,,,,,,,,
1,7752362,Not PM,,,,,,,,,
1,7811434,Not PM,,,,,,,,,
1,7939360,Not PM,,,,,,,,,
1,7954404,Not PM,,,,,,,,,
1,8055448,Not PM,,,,,,,,,
1,8065192,Not PM,,,,,,,,,
1,8253658,Not PM,,,,,,,,,
1,8302605,Not PM,,,,,,,,,
1,8368109,Not PM,,,,,,,,,
1,8384871,Not PM,,,,,,,,,
1,8472432,Not PM,,,,,,,,,
1,8621248,Not PM,,,,,,,,,
1,8625207,Not PM,,,,,,,,,
1,8651753,Not PM,,,,,,,,,
1,8674398,Not PM,,,,,,,,,
1,8892453,Not PM,,,,,,,,,
1,8912848,Not PM,,,,,,,,,
1,8984855,Not PM,,,,,,,,,
1,8993982,Not PM,,,,,,,,,
1,9118586,Not PM,,,,,,,,,
1,9140105,Not PM,,,,,,,,,
1,9182297,Not PM,,,,,,,,,
1,9291427,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Excludes,Not Discussed
1,9403703,Not PM,,,,,,,,,
1,9463294,Not PM,,,,,,,,,
1,9600204,Not PM,,,,,,,,,
1,9703873,Not PM,,,,,,,,,
1,9713346,Not PM,,,,,,,,,
1,9916925,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,AACR_2012-2855,Not PM,,,,,,,,,
1,AACR_2013-4203,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,AACR_2014-5136,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,AACR_2015-3093,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,AACR_2015-495,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,AACR_2015-774,Not PM,,,,,,,,,
1,AACR_2016-1183,Not PM,,,,,,,,,
1,ASCO_134972-144,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,ASCO_166145-176,Not PM,,,,,,,,,
1,ASCO_166807-176,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,ASCO_170059-176,Not PM,,,,,,,,,
2,10048494,Not PM,,,,,,,,,
2,10480505,Not PM,,,,,,,,,
2,10523382,Not PM,,,,,,,,,
2,10541830,Not PM,,,,,,,,,
2,10609119,Not PM,,,,,,,,,
2,10616863,Not PM,,,,,,,,,
2,10648274,Not PM,,,,,,,,,
2,10676663,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Not Discussed
2,10720084,Not PM,,,,,,,,,
2,10789575,Not PM,,,,,,,,,
2,10834414,Not PM,,,,,,,,,
2,10880038,Not PM,,,,,,,,,
2,10917579,Not PM,,,,,,,,,
2,10943822,Human PM,Not Disease,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Excludes,Matches
2,10950460,Not PM,,,,,,,,,
2,10953727,Not PM,,,,,,,,,
2,10959070,Not PM,,,,,,,,,
2,11078760,Human PM,More General,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Matches,Not Discussed
2,11142163,Not PM,,,,,,,,,
2,11177740,Not PM,,,,,,,,,
2,11273589,Not PM,,,,,,,,,
2,11307309,Not PM,,,,,,,,,
2,11429486,Not PM,,,,,,,,,
2,11520247,Not PM,,,,,,,,,
2,11762615,Not PM,,,,,,,,,
2,11876551,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Not Discussed
2,11904375,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Not Discussed
2,11928025,Not PM,,,,,,,,,
2,12060060,Not PM,,,,,,,,,
2,12134620,Not PM,,,,,,,,,
2,12198537,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,12421732,Not PM,,,,,,,,,
2,12430186,Human PM,More General,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Not Discussed
2,12432918,Not PM,,,,,,,,,
2,12466317,Not PM,,,,,,,,,
2,12560431,Not PM,,,,,,,,,
2,12651912,Animal PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Excludes,Not Discussed
2,12705552,Not PM,,,,,,,,,
2,12715635,Not PM,,,,,,,,,
2,12903843,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Not Discussed
2,12941809,Human PM,More Specific,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,1336666,Human PM,Not Disease,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,1396073,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,1423846,Animal PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Excludes,Not Discussed
2,14603155,Not PM,,,,,,,,,
2,14639609,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,14688025,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,14694850,Human PM,Not Disease,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Matches
2,14706174,Not PM,,,,,,,,,
2,14727811,Animal PM,Exact,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Excludes,Not Discussed
2,1486840,Human PM,More General,Missing Gene,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,14975808,Not PM,,,,,,,,,
2,14988248,Not PM,,,,,,,,,
2,15009549,Not PM,,,,,,,,,
2,15026326,Human PM,More General,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Not Discussed
2,15075001,Not PM,,,,,,,,,
2,15194222,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Matches,Not Discussed
2,15207020,Not PM,,,,,,,,,
2,15212704,Not PM,,,,,,,,,
2,15214594,Not PM,,,,,,,,,
2,15256118,Human PM,Exact,Missing Gene,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Not Discussed
2,15256317,Not PM,,,,,,,,,
2,15287930,Not PM,,,,,,,,,
2,15292968,Not PM,,,,,,,,,
2,15340260,Human PM,Exact,Missing Variant,BRAF (V600E),Missing Gene,KRAS (G13D),,,Not Discussed,Not Discussed
2,15386408,Human PM,Not Disease,Missing Variant,BRAF (V600E),Missing Variant,KRAS (G13D),,,Not Discussed,Not Discussed
2,15457376,Not PM,,,,,,,,,
2,15487858,Not PM,,,,,,,,,
2,15572293,Not PM,,,,,,,,,
